,date,ETsoy,ETcorn,ET25,ET10,month
8,2021-09-01,4.450722868084684,5.270767726125925,3.119574729461014,3.4127917120662663,9
9,2021-10-01,,,1.5927412794308393,1.872503731460929,10
10,2021-11-01,,,1.5128220108407,1.4595755102608454,11
11,2021-12-01,,,1.1720602614745126,1.306391283822511,12
12,2022-01-01,,,0.6022637470706661,0.8752696795980153,1
13,2022-02-01,,,0.8295344831287407,0.9151263766092255,2
14,2022-03-01,,,2.588864724873919,2.5465776420400847,3
15,2022-04-01,,,3.142545641475353,3.284558151641956,4
16,2022-05-01,4.531884555379197,3.6173403087064453,3.47465924720109,3.407683396263277,5
17,2022-06-01,3.258528655620812,4.284668140881046,4.028181096074265,4.142254837805926,6
18,2022-07-01,8.04513511830835,6.4301181499324285,6.115723662507991,5.79166754419591,7
19,2022-08-01,8.239450570218665,4.468410362152129,5.220071318868951,4.883838434895264,8
20,2022-09-01,5.025708987706692,2.9511305690197043,3.3377615784683714,3.18307985218684,9
21,2022-10-01,,,1.1785086486137488,1.3597998869683436,10
22,2022-11-01,,,1.0133845880325347,1.0723493795605732,11
23,2022-12-01,,,0.5731248427097392,0.8491930820554394,12
